COWNNUM,OCCPCODE,CLTSEX,MARRYD,CLTTYPE,BILLCHNL,Count_product,Age_Product1,Age,Product_1,Product_2
10013144,376,M,M,P,C,1,1,33,01_Endowment,01_Endowment
10013530,1078,M,M,P,C,1,1,33,01_Endowment,01_Endowment
10014211,2025,F,M,P,C,1,1,36,02_CI Endowment,01_Endowment
10014581,376,M,M,P,C,1,1,32,01_Endowment,01_Endowment
10015422,1078,F,M,P,C,1,1,32,01_Endowment,01_Endowment
10015629,1078,M,M,P,C,1,1,47,01_Endowment,01_Endowment
10015704,1078,F,M,P,C,1,1,31,01_Endowment,01_Endowment
10015873,376,M,M,P,C,1,1,43,04_PruCare Plus,01_Endowment
10015931,1516,M,M,P,C,1,1,45,04_PruCare Plus,01_Endowment
10016007,218,F,M,P,B,1,1,36,02_CI Endowment,01_Endowment
10016039,1078,F,M,P,C,1,1,32,01_Endowment,01_Endowment
10016478,231,F,M,P,C,1,1,29,05_ILP 2016 - Prulink,01_Endowment
10016737,218,F,M,P,C,1,1,27,01_Endowment,01_Endowment
10017250,997,F,S,P,C,1,1,31,01_Endowment,01_Endowment
10017616,170,M,M,P,C,1,1,37,02_CI Endowment,01_Endowment
10017622,1516,F,M,P,C,1,1,31,01_Endowment,01_Endowment
10017785,1078,F,M,P,C,1,1,52,02_CI Endowment,01_Endowment
10018043,1516,M,M,P,C,1,1,49,01_Endowment,01_Endowment
10018058,1078,F,M,P,C,1,1,56,05_ILP 2016 - Prulink,01_Endowment
10018427,1830,F,M,P,C,1,1,38,01_Endowment,01_Endowment
10018494,1078,F,M,P,C,1,1,45,02_CI Endowment,01_Endowment
10018542,2025,F,M,P,C,1,1,32,02_CI Endowment,01_Endowment
10019122,2436,F,M,P,C,1,1,30,01_Endowment,01_Endowment
10019762,1078,F,M,P,C,1,1,28,02_CI Endowment,01_Endowment
10019813,2025,F,M,P,C,1,1,35,05_ILP 2016 - Prulink,01_Endowment
10020070,218,F,M,P,C,1,1,28,01_Endowment,01_Endowment
10020816,2025,F,M,P,C,1,1,50,02_CI Endowment,01_Endowment
10020969,721,F,S,P,C,1,1,20,02_CI Endowment,01_Endowment
10021191,1078,F,M,P,C,1,1,33,01_Endowment,01_Endowment
10022054,1078,M,M,P,C,1,1,40,02_CI Endowment,01_Endowment
10022406,1516,M,M,P,C,1,1,35,02_CI Endowment,01_Endowment
10022759,2309,F,M,P,C,1,1,42,02_CI Endowment,01_Endowment
10022900,1078,F,M,P,C,1,1,31,01_Endowment,01_Endowment
10022997,218,M,M,P,C,1,1,29,01_Endowment,01_Endowment
10023423,218,F,M,P,C,1,1,36,01_Endowment,01_Endowment
10023532,1516,M,M,P,C,1,1,47,02_CI Endowment,01_Endowment
10025630,1078,F,M,P,C,1,1,60,01_Endowment,01_Endowment
10025697,1078,F,M,P,C,1,1,30,01_Endowment,01_Endowment
10026533,218,F,M,P,C,1,1,33,01_Endowment,01_Endowment
10027718,1516,M,M,P,C,1,1,36,02_CI Endowment,01_Endowment
10027827,1489,F,M,P,C,1,1,32,01_Endowment,01_Endowment
10028256,1078,F,M,P,C,1,1,27,01_Endowment,01_Endowment
10028296,1078,F,S,P,C,1,1,35,05_ILP 2016 - Prulink,01_Endowment
10028385,1078,F,M,P,C,1,1,41,01_Endowment,01_Endowment
10028906,1516,F,M,P,C,1,1,45,02_CI Endowment,01_Endowment
10029357,1489,M,M,P,C,1,1,35,01_Endowment,01_Endowment
10029656,997,F,M,P,C,1,1,32,01_Endowment,01_Endowment
10029917,1078,F,M,P,C,1,1,45,01_Endowment,01_Endowment
10029950,675,F,S,P,C,1,1,27,02_CI Endowment,01_Endowment
10030595,1078,F,M,P,C,1,1,33,05_ILP 2016 - Prulink,01_Endowment
10030978,2309,F,M,P,C,1,1,34,01_Endowment,01_Endowment
